DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2024,ES,158,ES52,1,519.45392,1,1,1
2024,ES,159,ES52,1,819.17509,1,1,1
2024,ES,160,ES52,1,897.42188,1,1,1
2024,ES,161,ES52,1,1347.28498,1,1,1
2024,ES,162,ES52,1,1129.44594,1,1,1
2024,ES,163,ES52,1,2335.08415,1,1,1
2024,ES,164,ES52,1,1264.83353,1,1,1
2024,ES,165,ES52,1,843.61912,1,1,1
2024,ES,166,ES52,1,1498.61476,1,1,1
2024,ES,167,ES52,1,927.96267,1,1,1
2024,ES,168,ES52,1,228.77765,1,1,1
2024,ES,169,ES52,1,1573.70703,1,1,1
2024,ES,171,ES52,1,1185.89277,1,1,1
2024,ES,172,ES52,1,1089.86862,1,2,1
2024,ES,173,ES52,1,1015.85805,1,2,1
2024,ES,176,ES52,1,1213.47233,1,2,1
2024,ES,177,ES52,1,1434.60012,1,2,1
2024,ES,181,ES52,1,1195.99661,1,2,1
2024,ES,182,ES52,1,1303.29452,1,2,1
2024,ES,183,ES52,1,961.86174,1,2,1
2024,ES,184,ES52,1,704.87389,1,1,1
2024,ES,185,ES52,1,795.51730,1,1,1
2024,ES,186,ES52,1,188.87445,1,1,1
2024,ES,187,ES52,1,1097.74759,1,1,1
2024,ES,188,ES52,1,1534.22782,1,1,1
2024,ES,189,ES52,1,580.93837,1,1,1
2024,ES,190,ES52,1,636.45338,1,1,1
2024,ES,192,ES52,1,1449.26681,1,2,1
2024,ES,193,ES52,1,1036.99021,1,2,1
2024,ES,194,ES52,1,514.75625,1,2,1
2024,ES,195,ES52,1,824.95086,1,2,1
2024,ES,196,ES52,1,741.83768,1,2,1
2024,ES,197,ES52,1,812.27762,1,2,1
2024,ES,198,ES52,1,505.36070,1,2,1
2024,ES,199,ES52,1,786.69749,1,2,1
2024,ES,200,ES52,1,547.34918,1,2,1
2024,ES,201,ES52,1,850.09527,1,2,1
2024,ES,202,ES52,1,928.90891,1,2,1
2024,ES,203,ES52,1,687.04921,1,1,1
2024,ES,204,ES52,1,1142.72082,1,1,1
2024,ES,205,ES52,1,812.27762,1,1,1
