RB010,RB020,RB030,RB050,RB050_F,RB080,RB080_F,RB081,RB081_F,RB082,RB082_F,RB090,RB090_F,RB200,RB200_F,RB211,RB211_F,RB220,RB220_F,RB230,RB230_F,RB240,RB240_F,RB280,RB280_F,RB290,RB290_F,RL010,RL010_F,RL020,RL020_F,RL030,RL030_F,RL040,RL040_F,RL050,RL050_F,RL060,RL060_F,RL070,RL070_F,vrLOWJOB,vrEU2020,vrMATSOCDEP,vrLOWJOB_nuevo,vrEU2030_nuevo,RCH010,RCH010_F,RCH020,RCH020_F,RC370,RC370_F,RC370B,RC370B_F,RC380,RC380_F,RC390,RC390_F
2024,ES,1556202,646.19514,1,1961,1,62,1,62,1,2,1,1,1,1,1, ,-2, ,-2,1556201,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556301,1013.36817,1,1944,1,79,1,80,1,2,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556501,807.14523,1,1980,1,43,1,44,1,2,1,1,1,2,1, ,-2, ,-2,1556502,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556502,807.14523,1,1971,1,52,1,52,1,1,1,1,1,1,1, ,-2, ,-2,1556501,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556503,807.14523,1,2014,1,9,1,9,1,1,1,1,1,5,1,1556502,1,1556501,1, ,-2,1,1,1,1, ,-2,25,1,0,1,0,1,0,1,0,1,783.38904,1,0,0,0,0,0,1,1,3,1, ,-4, ,-4,2,1, ,-4
2024,ES,1556701,542.50128,1,1945,1,78,1,79,1,1,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556801,678.54981,1,1947,1,76,1,77,1,2,1,1,1,6,1, ,-2, ,-2,1556802,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556802,678.54981,1,1946,1,77,1,77,1,1,1,1,1,3,1, ,-2, ,-2,1556801,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556901,844.79157,1,1950,1,73,1,73,1,1,1,1,1,3,1, ,-2, ,-2,1556902,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1556902,844.79157,1,1944,1,79,1,79,1,2,1,1,1,6,1, ,-2, ,-2,1556901,1,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557001,903.06127,1,1952,1,71,1,71,1,2,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557101,1013.36817,1,1938,1,85,1,85,1,2,1,1,1,3,1, ,-2, ,-2, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,1,0,9,1, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557201,759.02588,1,1975,1,48,1,48,1,1,1,1,1,1,1, ,-2, ,-2,1557202,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557202,759.02588,1,1967,1,56,1,56,1,2,1,1,1,1,1, ,-2, ,-2,1557201,1,3,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557401,711.9531,1,1967,1,56,1,57,1,2,1,1,1,1,1, ,-2, ,-2,1557402,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557402,711.9531,1,1959,1,64,1,64,1,1,1,1,1,1,1, ,-2, ,-2,1557401,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,9,0,0,9,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557501,1009.81251,1,1994,1,29,1,29,1,1,1,1,1,1,1,1557502,1,1557503,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557502,1009.81251,1,1969,1,54,1,54,1,1,1,1,1,1,1, ,-2, ,-2,1557503,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557503,1009.81251,1,1968,1,55,1,55,1,2,1,1,1,6,1, ,-2, ,-2,1557502,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557504,1009.81251,1,1992,1,31,1,32,1,2,1,1,1,1,1,1557502,1,1557503,1, ,-2,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557601,1018.37963,1,1981,1,42,1,42,1,1,1,1,1,1,1, ,-2, ,-2,1557602,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
2024,ES,1557602,1018.37963,1,1980,1,43,1,43,1,2,1,1,1,1,1, ,-2, ,-2,1557601,1,1,1,1,1, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2, ,-2,0,0,0,0,0, ,-4, ,-4, ,-2, ,-2, ,-2, ,-2
